"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2007","110.870","110.800","111.000","110.580","","0.24%"
"04/01/2007","110.600","108.600","110.750","108.000","","1.79%"
"03/01/2007","108.650","108.750","109.970","108.250","","-0.13%"
"02/01/2007","108.790","108.500","108.900","108.420","","0.19%"
"01/01/2007","108.580","107.350","108.980","107.350","","1.05%"
"12/01/2006","107.450","108.070","108.650","107.300","","-0.60%"
"11/01/2006","108.100","107.800","109.200","106.300","","0.07%"
"10/01/2006","108.025","103.720","108.025","103.720","","4.11%"
"09/01/2006","103.760","102.000","103.850","101.950","","1.54%"
"08/01/2006","102.190","103.970","104.030","102.100","","-1.71%"
"07/01/2006","103.970","103.940","104.070","103.250","","0.00%"
"06/01/2006","103.970","102.960","104.080","102.940","","0.94%"
"05/01/2006","103.000","102.790","103.300","102.500","","0.19%"
"04/01/2006","102.800","102.600","102.900","102.370","","0.22%"
"03/01/2006","102.575","102.650","102.825","102.300","","0.00%"
"02/01/2006","102.580","102.050","102.780","101.500","","0.45%"
"01/01/2006","102.120","102.090","102.370","101.500","","0.01%"
"12/01/2005","102.110","101.960","102.200","101.600","","0.11%"
"11/01/2005","102.000","101.890","102.090","101.400","","0.12%"
"10/01/2005","101.880","101.310","101.960","101.150","","0.54%"
"09/01/2005","101.330","101.200","101.530","101.000","","0.08%"
"08/01/2005","101.250","100.600","101.300","100.000","","0.55%"
"07/01/2005","100.700","100.100","100.880","99.800","","0.55%"
"06/01/2005","100.150","99.840","100.450","99.650","","0.23%"
"05/01/2005","99.925","99.820","99.975","99.450","","0.15%"
"04/01/2005","99.775","99.600","99.925","99.400","","0.08%"
"03/01/2005","99.700","99.400","100.000","99.000","","0.20%"
"02/01/2005","99.500","98.950","99.600","98.950","","0.45%"
"01/01/2005","99.050","104.400","104.550","97.700","","-5.19%"
"12/01/2004","104.475","104.750","105.595","104.000","","-0.33%"
"11/01/2004","104.825","104.080","105.045","104.080","","0.65%"
"10/01/2004","104.150","103.500","104.150","103.450","","0.55%"
"09/01/2004","103.580","103.100","103.730","102.820","","0.44%"
"08/01/2004","103.125","103.500","104.125","102.800","","-0.48%"
"07/01/2004","103.625","102.350","103.675","102.250","","1.25%"
"06/01/2004","102.350","99.220","102.550","99.000","","3.18%"
"05/01/2004","99.200","98.300","99.250","98.300","","0.92%"
"04/01/2004","98.300","97.470","98.510","97.350","","0.72%"
"03/01/2004","97.600","98.580","98.850","96.550","","-1.00%"
"02/01/2004","98.585","97.250","99.305","97.250","","1.34%"
"01/01/2004","97.280","96.920","99.000","96.880","","0.76%"
"12/01/2003","96.550","96.250","97.150","95.550","","0.13%"
"11/01/2003","96.425","94.730","97.825","94.530","","1.76%"
"10/01/2003","94.760","94.530","95.070","94.200","","0.42%"
"09/01/2003","94.360","96.780","96.890","93.870","","-2.55%"
"08/01/2003","96.830","97.050","97.140","96.550","","-0.32%"
"07/01/2003","97.140","97.100","97.200","96.950","","-0.02%"
"06/01/2003","97.155","97.220","97.325","96.900","","-0.08%"
"05/01/2003","97.230","97.080","97.250","96.950","","0.10%"
"04/01/2003","97.130","96.920","97.140","96.750","","0.19%"
"03/01/2003","96.945","96.850","96.955","96.750","","0.06%"
"02/01/2003","96.890","96.800","96.920","96.550","","0.09%"
"01/01/2003","96.800","96.700","96.980","96.450","","0.21%"
"12/01/2002","96.600","96.580","96.880","96.250","","0.34%"
"11/01/2002","96.275","96.100","96.675","96.100","","0.03%"
"10/01/2002","96.250","96.200","96.590","96.100","","0.00%"
"09/01/2002","96.250","96.250","96.500","95.800","","0.05%"
"08/01/2002","96.200","96.200","96.490","95.850","","0.12%"
"07/01/2002","96.080","96.080","96.430","95.850","","-0.07%"
"06/01/2002","96.150","96.150","96.480","95.980","","0.00%"
"05/01/2002","96.150","96.150","96.410","96.000","","0.10%"
"04/01/2002","96.050","95.900","96.050","95.900","","0.47%"
"03/01/2002","95.600","95.450","95.600","95.450","","2.14%"
"02/01/2002","93.600","93.450","93.600","93.450","","0.16%"
"01/01/2002","93.450","93.300","93.450","93.300","","0.48%"
"12/01/2001","93.000","92.850","93.000","92.850","","-0.16%"
"11/01/2001","93.150","93.000","93.150","93.000","","1.53%"
"10/01/2001","91.750","91.600","91.750","91.600","","1.89%"
"09/01/2001","90.050","89.900","90.050","89.900","","0.19%"
"08/01/2001","89.875","89.750","89.875","89.750","","-0.03%"
"07/01/2001","89.900","89.800","89.900","89.800","","-0.80%"
"06/01/2001","90.625","90.450","90.625","90.450","","-1.31%"
"05/01/2001","91.825","91.650","91.825","91.650","","1.52%"
"04/01/2001","90.450","90.200","90.450","90.200","","4.75%"
"03/01/2001","86.350","86.100","86.350","86.100","","-0.17%"
"02/01/2001","86.500","86.000","86.500","86.000","","-3.35%"
"01/01/2001","89.500","89.000","89.500","89.000","","8.22%"
"12/01/2000","82.700","82.650","82.700","82.650","","1.53%"
"11/01/2000","81.450","81.400","81.450","81.400","","2.57%"
"10/01/2000","79.410","79.360","79.410","79.360","","0.33%"
"09/01/2000","79.150","79.100","79.150","79.100","","1.41%"
"08/01/2000","78.050","78.000","78.050","78.000","","-0.38%"
"07/01/2000","78.350","78.300","78.350","78.300","","-0.70%"
"06/01/2000","78.900","78.600","78.900","78.600","","5.57%"
"05/01/2000","74.735","74.700","74.735","74.700","","0.59%"
"04/01/2000","74.300","74.050","74.300","74.050","","0.75%"
"03/01/2000","73.750","73.650","73.750","73.650","","0.37%"
"02/01/2000","73.475","73.200","73.475","73.200","","0.44%"
"01/01/2000","73.150","73.100","73.150","73.100","","2.31%"
"12/01/1999","71.500","71.250","71.500","71.250","","-0.83%"
"11/01/1999","72.100","71.850","72.100","71.850","","0.77%"
"10/01/1999","71.550","71.300","71.550","71.300","","-0.25%"
"09/01/1999","71.730","71.680","71.730","71.680","","-0.10%"
"08/01/1999","71.800","71.550","71.800","71.550","","0.28%"
"07/01/1999","71.600","71.400","71.600","71.400","","0.07%"
"06/01/1999","71.550","71.510","71.550","71.510","","0.99%"
"05/01/1999","70.850","70.800","70.850","70.800","","1.76%"
"04/01/1999","69.625","69.600","69.625","69.600","","0.29%"
"03/01/1999","69.425","69.400","69.425","69.400","","-0.15%"
"02/01/1999","69.530","69.500","69.530","69.500","","1.02%"
"01/01/1999","68.825","68.600","68.825","68.600","","0.58%"
"12/01/1998","68.430","68.400","68.430","68.400","","0.78%"
"11/01/1998","67.900","67.850","67.900","67.850","","1.23%"
"10/01/1998","67.075","67.050","67.075","67.050","","1.65%"
"09/01/1998","65.985","65.960","65.985","65.960","","-0.81%"
"08/01/1998","66.525","66.100","66.525","66.100","","0.91%"
"07/01/1998","65.925","65.850","65.925","65.850","","0.80%"
"06/01/1998","65.400","65.350","65.400","65.350","","0.62%"
"05/01/1998","65.000","64.550","65.000","64.550","","2.68%"
"04/01/1998","63.305","63.280","63.305","63.280","","1.49%"
"03/01/1998","62.375","62.150","62.375","62.150","","1.13%"
"02/01/1998","61.675","61.450","61.675","61.450","","-0.92%"
"01/01/1998","62.250","62.000","62.250","62.000","","0.81%"
"12/01/1997","61.750","61.700","61.750","61.700","","1.65%"
"11/01/1997","60.750","60.710","60.750","60.710","","1.63%"
"10/01/1997","59.775","59.750","59.775","59.750","","0.04%"
"09/01/1997","59.750","59.700","59.750","59.700","","0.78%"
"08/01/1997","59.285","59.260","59.285","59.260","","0.74%"
"07/01/1997","58.850","58.800","58.850","58.800","","0.62%"
"06/01/1997","58.490","58.440","58.490","58.440","","0.32%"
"05/01/1997","58.305","58.280","58.305","58.280","","-1.51%"
"04/01/1997","59.200","59.150","59.200","59.150","","1.49%"
"03/01/1997","58.330","58.300","58.330","58.300","","1.44%"
"02/01/1997","57.500","57.450","57.500","57.450","","-0.33%"
"01/01/1997","57.690","57.650","57.690","57.650","","1.69%"
"12/01/1996","56.730","56.700","56.730","56.700","","0.18%"
"11/01/1996","56.630","56.600","56.630","56.600","","-0.74%"
"10/01/1996","57.050","57.000","57.050","57.000","","0.80%"
"09/01/1996","56.600","56.450","56.600","56.450","","1.80%"
"08/01/1996","55.600","55.450","55.600","55.450","","0.87%"
"07/01/1996","55.120","55.070","55.120","55.070","","-0.69%"
"06/01/1996","55.505","55.430","55.505","55.430","","1.01%"
"05/01/1996","54.950","54.800","54.950","54.800","","0.39%"
"04/01/1996","54.735","54.700","54.735","54.700","","1.96%"
"03/01/1996","53.685","53.650","53.685","53.650","","0.00%"
"02/01/1996","53.685","53.650","53.685","53.650","","0.00%"
"01/01/1996","53.685","53.650","53.685","53.650","","-0.68%"
